FEN,Evaluation
rB6/P2k4/R3p3/3p4/2r5/2P5/1P2KP2/8 w - - 7 39,371
rB6/P2k4/R3p3/3p4/2r5/2PK4/1P3P2/8 b - - 8 39,345
rBr5/P2k4/R3p3/3p4/8/2PK4/1P3P2/8 w - - 9 40,423
rBr5/P2k4/3Rp3/3p4/8/2PK4/1P3P2/8 b - - 10 40,380
rBr5/P3k3/3Rp3/3p4/8/2PK4/1P3P2/8 w - - 11 41,444
rBr5/P3k3/1R2p3/3p4/8/2PK4/1P3P2/8 b - - 12 41,438
rBr5/P7/1R2pk2/3p4/8/2PK4/1P3P2/8 w - - 13 42,605
rBr5/P7/1R2pk2/3p4/1P6/2PK4/5P2/8 b - - 0 42,558
rBr5/P7/1R2p3/3p1k2/1P6/2PK4/5P2/8 w - - 1 43,688
rBr5/P7/1R2p3/3p1k2/1P3P2/2PK4/8/8 b - - 0 43,782
rBr5/P7/1R2pk2/3p4/1P3P2/2PK4/8/8 w - - 1 44,1028
r1r5/P7/1R2pk2/3pB3/1P3P2/2PK4/8/8 b - - 2 44,914
2r1kb1r/pp2p3/1nn1p2p/6p1/4N2P/5N2/PP3PP1/R1BR2K1 b k - 0 16,-124
2r1kb1r/pp2p3/1nn1p2p/8/4N1pP/5N2/PP3PP1/R1BR2K1 w k - 0 17,-62
2r1kb1r/pp2p3/1nn1p2p/8/4N1pP/8/PP3PPN/R1BR2K1 b k - 1 17,-96
2r1kbr1/pp2p3/1nn1p2p/8/4N1pP/8/PP3PPN/R1BR2K1 w - - 2 18,-81
2r1kbr1/pp2p3/1nn1p2p/8/4N1pP/1P6/P4PPN/R1BR2K1 b - - 0 18,-81
2r1kbr1/pp2p3/2n1p2p/3n4/4N1pP/1P6/P4PPN/R1BR2K1 w - - 1 19,-40
2r1kbr1/pp2p3/2n1p2p/3n4/4N1pP/1P6/PB3PPN/R2R2K1 b - - 2 19,-87
2r1k1r1/pp2p1b1/2n1p2p/3n4/4N1pP/1P6/PB3PPN/R2R2K1 w - - 3 20,-61
2r1k1r1/pp2p1B1/2n1p2p/3n4/4N1pP/1P6/P4PPN/R2R2K1 b - - 0 20,-83
2r1k3/pp2p1r1/2n1p2p/3n4/4N1pP/1P6/P4PPN/R2R2K1 w - - 0 21,-23
2r1k3/pp2p1r1/2n1p2p/3n4/4N1pP/1P6/P4PPN/2RR2K1 b - - 1 21,-76
2r1k1r1/pp2p3/2n1p2p/3n4/4N1pP/1P6/P4PPN/2RR2K1 w - - 2 22,-19
2r1k1r1/pp2p3/2n1p2p/3n4/2R1N1pP/1P6/P4PPN/3R2K1 b - - 3 22,-125
2r3r1/pp2pk2/2n1p2p/3n4/2R1N1pP/1P6/P4PPN/3R2K1 w - - 4 23,-43
2r3r1/pp2pk2/2n1p2p/3n4/2R1N1pP/1P6/P4PPN/2R3K1 b - - 5 23,-77
3r2r1/pp2pk2/2n1p2p/3n4/2R1N1pP/1P6/P4PPN/2R3K1 w - - 6 24,91
3r2r1/pp2pk2/2n1p2p/2Nn4/2R3pP/1P6/P4PPN/2R3K1 b - - 7 24,13
3r2r1/p3pk2/2n1p2p/1pNn4/2R3pP/1P6/P4PPN/2R3K1 w - - 0 25,88
3r2r1/p3pk2/2n1p2p/1pNn4/6RP/1P6/P4PPN/2R3K1 b - - 0 25,88
3r2r1/p3pk2/2n1pn1p/1pN5/6RP/1P6/P4PPN/2R3K1 w - - 1 26,122
3r2R1/p3pk2/2n1pn1p/1pN5/7P/1P6/P4PPN/2R3K1 b - - 0 26,94
6r1/p3pk2/2n1pn1p/1pN5/7P/1P6/P4PPN/2R3K1 w - - 0 27,170
6r1/p3pk2/2n1Nn1p/1p6/7P/1P6/P4PPN/2R3K1 b - - 0 27,119
6r1/p3pk2/4Nn1p/1p6/1n5P/1P6/P4PPN/2R3K1 w - - 1 28,152
6r1/p3pk2/5n1p/1p6/1n1N3P/1P6/P4PPN/2R3K1 b - - 2 28,107
6r1/p3pk2/5n1p/1p6/3N3P/1P6/n4PPN/2R3K1 w - - 0 29,162
6r1/p3pk2/5n1p/1p6/3N3P/1P6/n4PPN/R5K1 b - - 1 29,123
6r1/p3pk2/5n1p/1p6/3N3P/1Pn5/5PPN/R5K1 w - - 2 30,111
6r1/R3pk2/5n1p/1p6/3N3P/1Pn5/5PPN/6K1 b - - 0 30,89
3r4/R3pk2/5n1p/1p6/3N3P/1Pn5/5PPN/6K1 w - - 1 31,93
3r4/R3pk2/5n1p/1p6/3N3P/1Pn2N2/5PP1/6K1 b - - 2 31,66
3r4/R3pk2/7p/1p6/3N2nP/1Pn2N2/5PP1/6K1 w - - 3 32,97
3r4/R3pk2/7p/1p6/3N2nP/1Pn2NP1/5P2/6K1 b - - 0 32,87
8/R3pk2/7p/1p1r4/3N2nP/1Pn2NP1/5P2/6K1 w - - 1 33,173
8/R3pk2/7p/1p1r4/3N2nP/1Pn2NP1/5PK1/8 b - - 2 33,82
8/R3p3/5k1p/1p1r4/3N2nP/1Pn2NP1/5PK1/8 w - - 3 34,98
8/4p3/R4k1p/1p1r4/3N2nP/1Pn2NP1/5PK1/8 b - - 4 34,106
8/4pk2/R6p/1p1r4/3N2nP/1Pn2NP1/5PK1/8 w - - 5 35,136
8/4pk2/1R5p/1p1r4/3N2nP/1Pn2NP1/5PK1/8 b - - 6 35,140
8/5k2/1R5p/1p1rp3/3N2nP/1Pn2NP1/5PK1/8 w - - 0 36,264
8/5k2/1R5p/1p1rpN2/6nP/1Pn2NP1/5PK1/8 b - - 1 36,296
8/5k2/1R5p/1p1r1N2/4p1nP/1Pn2NP1/5PK1/8 w - - 0 37,279
8/5k2/1R5p/1p1r1N2/3Np1nP/1Pn3P1/5PK1/8 b - - 1 37,189
8/5k2/1R6/1p1r1N1p/3Np1nP/1Pn3P1/5PK1/8 w - - 0 38,253
8/5k2/1R6/1p1r1N1p/1P1Np1nP/2n3P1/5PK1/8 b - - 0 38,117
8/5k2/1R6/1p1r1N1p/1P1Np1nP/6P1/n4PK1/8 w - - 1 39,375
8/5k2/1R1N4/1p1r3p/1P1Np1nP/6P1/n4PK1/8 b - - 2 39,394
8/4k3/1R1N4/1p1r3p/1P1Np1nP/6P1/n4PK1/8 w - - 3 40,387
8/4k3/1R6/1N1r3p/1P1Np1nP/6P1/n4PK1/8 b - - 0 40,227
8/4k3/1R6/1N1r3p/1n1Np1nP/6P1/5PK1/8 w - - 0 41,269
8/4k3/4R3/1N1r3p/1n1Np1nP/6P1/5PK1/8 b - - 1 41,239
8/5k2/4R3/1N1r3p/1n1Np1nP/6P1/5PK1/8 w - - 2 42,261
8/5k2/8/1N1r3p/1n1NR1nP/6P1/5PK1/8 b - - 0 42,243
8/5k2/8/1N1r3p/3NR1nP/3n2P1/5PK1/8 w - - 1 43,259
8/5k2/8/1N1r3p/3NR1nP/3n1PP1/6K1/8 b - - 0 43,226
8/5k2/8/1N1rn2p/3NR2P/3n1PP1/6K1/8 w - - 1 44,279
8/5k2/8/1N1rn2p/3N3P/3nRPP1/6K1/8 b - - 2 44,236
r3kb1r/pp1b1ppp/1nn1p3/4P3/8/PB3N2/1P3PPP/RNBR2K1 b kq - 0 12,-58
2r1kb1r/pp1b1ppp/1nn1p3/4P3/8/PB3N2/1P3PPP/RNBR2K1 w k - 1 13,33
2r1kb1r/pp1b1ppp/1nn1p3/4P3/8/P4N2/BP3PPP/RNBR2K1 b k - 2 13,0
2r1k2r/pp1bbppp/1nn1p3/4P3/8/P4N2/BP3PPP/RNBR2K1 w k - 3 14,25
2r1k2r/pp1bbppp/1nn1p3/4P3/8/P1N2N2/BP3PPP/R1BR2K1 b k - 4 14,-30
2r1k2r/pp1bbppp/1n2p3/n3P3/8/P1N2N2/BP3PPP/R1BR2K1 w k - 5 15,8
2r1k2r/pp1bbppp/1n2p3/n3P3/8/P1N2N1P/BP3PP1/R1BR2K1 b k - 0 15,-31
2r1k2r/pp1bbppp/1n2p3/4P3/2n5/P1N2N1P/BP3PP1/R1BR2K1 w k - 1 16,0
2r1k2r/pp1bbppp/1n2p3/4P3/2n5/P4N1P/BP2NPP1/R1BR2K1 b k - 2 16,-48
2r1k2r/pp2bppp/1nb1p3/4P3/2n5/P4N1P/BP2NPP1/R1BR2K1 w k - 3 17,-41
2r1k2r/pp2bppp/1nb1p3/4P3/2nN4/P4N1P/BP3PP1/R1BR2K1 b k - 4 17,-76
2r1k2r/pp2bppp/1n2p3/3bP3/2nN4/P4N1P/BP3PP1/R1BR2K1 w k - 5 18,-46
2r1k2r/pp2bppp/1n2p3/3bP3/P1nN4/5N1P/BP3PP1/R1BR2K1 b k - 0 18,-65
2r1k2r/pp1nbppp/4p3/3bP3/P1nN4/5N1P/BP3PP1/R1BR2K1 w k - 1 19,-11
2r1k2r/pp1nbppp/4p3/3bP3/P1BN4/5N1P/1P3PP1/R1BR2K1 b k - 0 19,-74
4k2r/pp1nbppp/4p3/3bP3/P1rN4/5N1P/1P3PP1/R1BR2K1 w k - 0 20,-58
4k2r/pp1nbppp/4p3/3bP3/P1rN4/1P3N1P/5PP1/R1BR2K1 b k - 0 20,-74
2r1k2r/pp1nbppp/4p3/3bP3/P2N4/1P3N1P/5PP1/R1BR2K1 w k - 1 21,-20
2r1k2r/pp1nbppp/4p3/3bP3/P2N4/1P2BN1P/5PP1/R2R2K1 b k - 2 21,-84
2r2rk1/pp1nbppp/4p3/3bP3/P2N4/1P2BN1P/5PP1/R2R2K1 w - - 3 22,0
2r2rk1/pp1nbppp/4p3/3bPN2/P7/1P2BN1P/5PP1/R2R2K1 b - - 4 22,-60
2r2rk1/pp1n1ppp/4p3/3bPN2/Pb6/1P2BN1P/5PP1/R2R2K1 w - - 5 23,0
2r2rk1/Bp1n1ppp/4p3/3bPN2/Pb6/1P3N1P/5PP1/R2R2K1 b - - 0 23,-21
2r2rk1/B2n1ppp/1p2p3/3bPN2/Pb6/1P3N1P/5PP1/R2R2K1 w - - 0 24,-13
2r2rk1/B2n1ppp/1p2p3/3bP3/Pb1N4/1P3N1P/5PP1/R2R2K1 b - - 1 24,-224
5rk1/B1rn1ppp/1p2p3/3bP3/Pb1N4/1P3N1P/5PP1/R2R2K1 w - - 2 25,-189
5rk1/B1rn1ppp/1p2p3/1N1bP3/Pb6/1P3N1P/5PP1/R2R2K1 b - - 3 25,-226
5rk1/Br1n1ppp/1p2p3/1N1bP3/Pb6/1P3N1P/5PP1/R2R2K1 w - - 4 26,-210
5rk1/Br1n1ppp/1p2p3/1N1bP3/Pb1R4/1P3N1P/5PP1/R5K1 b - - 5 26,-227
5rk1/Br1n1ppp/1p2p3/1NbbP3/P2R4/1P3N1P/5PP1/R5K1 w - - 6 27,-167
5rk1/Br1n1ppp/1p2p3/1NbbP3/P4R2/1P3N1P/5PP1/R5K1 b - - 7 27,-286
r5k1/Br1n1ppp/1p2p3/1NbbP3/P4R2/1P3N1P/5PP1/R5K1 w - - 8 28,-198
r5k1/Br1n1ppp/1p2p3/1NbbP3/PP3R2/5N1P/5PP1/R5K1 b - - 0 28,-338
r5k1/Br1nbppp/1p2p3/1N1bP3/PP3R2/5N1P/5PP1/R5K1 w - - 1 29,-308
r5k1/Br1nbppp/1p2p3/PN1bP3/1P3R2/5N1P/5PP1/R5K1 b - - 0 29,-517
r5k1/Br1nbppp/4p3/pN1bP3/1P3R2/5N1P/5PP1/R5K1 w - - 0 30,-503
r5k1/Br1nbppp/4p3/RN1bP3/1P3R2/5N1P/5PP1/6K1 b - - 0 30,-529
r2b2k1/Br1n1ppp/4p3/RN1bP3/1P3R2/5N1P/5PP1/6K1 w - - 1 31,-453
r2b2k1/Br1n1ppp/3Np3/R2bP3/1P3R2/5N1P/5PP1/6K1 b - - 2 31,-538
r5k1/Br1n1ppp/3Np3/b2bP3/1P3R2/5N1P/5PP1/6K1 w - - 0 32,-518
r5k1/BN1n1ppp/4p3/b2bP3/1P3R2/5N1P/5PP1/6K1 b - - 0 32,-559
2r2b1r/ppN1pkpp/2n1N3/4p3/2n5/2P5/P4PPP/R1BR2K1 b - - 3 17,-31
2r2b1r/ppN1pk1p/2n1N1p1/4p3/2n5/2P5/P4PPP/R1BR2K1 w - - 0 18,-6
2r2b1r/ppN1pk1p/2n1N1p1/4p3/2n2P2/2P5/P5PP/R1BR2K1 b - - 0 18,-38
2r4r/ppN1pkbp/2n1N1p1/4p3/2n2P2/2P5/P5PP/R1BR2K1 w - - 1 19,23
2r4r/ppN1pkbp/2n1N1p1/4P3/2n5/2P5/P5PP/R1BR2K1 b - - 0 19,-13
2r4r/ppN1pkbp/2n1N1p1/4n3/8/2P5/P5PP/R1BR2K1 w - - 0 20,0
2r4r/ppN1pkbp/2n1N1p1/4n3/8/2P5/P5PP/R1B2RK1 b - - 1 20,0
2r4r/ppN1pk1p/2n1Nbp1/4n3/8/2P5/P5PP/R1B2RK1 w - - 2 21,0
2r4r/ppN1pk1p/2n1NbpB/4n3/8/2P5/P5PP/R4RK1 b - - 3 21,-49
2r4r/ppN1pk1p/2n1Nb1B/4n1p1/8/2P5/P5PP/R4RK1 w - - 0 22,-22
2r4r/ppN1pk1p/2n1Nb2/4n1B1/8/2P5/P5PP/R4RK1 b - - 0 22,-64
2rn3r/ppN1pk1p/4Nb2/4n1B1/8/2P5/P5PP/R4RK1 w - - 1 23,0
2rN3r/ppN1pk1p/5b2/4n1B1/8/2P5/P5PP/R4RK1 b - - 0 23,-79
2rr4/ppN1pk1p/5b2/4n1B1/8/2P5/P5PP/R4RK1 w - - 0 24,-57
2rr4/ppN1pk1p/5b2/4n1B1/8/2P5/P5PP/4RRK1 b - - 1 24,-59
3r4/ppr1pk1p/5b2/4n1B1/8/2P5/P5PP/4RRK1 w - - 0 25,-31
3r4/ppr1pk1p/5b2/4R1B1/8/2P5/P5PP/5RK1 b - - 0 25,-54
8/ppr1pk1p/5b2/4R1B1/8/2Pr4/P5PP/5RK1 w - - 1 26,-13
8/ppr1pk1p/5B2/4R3/8/2Pr4/P5PP/5RK1 b - - 0 26,-78
8/ppr2k1p/5p2/4R3/8/2Pr4/P5PP/5RK1 w - - 0 27,-55
8/ppr2k1p/5p2/7R/8/2Pr4/P5PP/5RK1 b - - 1 27,-66
8/ppr4p/5pk1/7R/8/2Pr4/P5PP/5RK1 w - - 2 28,-46
8/ppr4p/5pk1/8/7R/2Pr4/P5PP/5RK1 b - - 3 28,-97
8/ppr4p/5pk1/8/7R/2r5/P5PP/5RK1 w - - 0 29,-23
8/ppr4p/5pk1/8/6R1/2r5/P5PP/5RK1 b - - 1 29,-54
8/ppr2k1p/5p2/8/6R1/2r5/P5PP/5RK1 w - - 2 30,-29
8/ppr2k1p/5p2/8/7R/2r5/P5PP/5RK1 b - - 3 30,-53
6k1/ppr4p/5p2/8/7R/2r5/P5PP/5RK1 w - - 4 31,0
6k1/ppr4p/5R2/8/7R/2r5/P5PP/6K1 b - - 0 31,-41
6k1/ppr4p/5R2/8/7R/8/P5PP/2r3K1 w - - 1 32,-35
6k1/ppr4p/5R2/8/7R/8/P4KPP/2r5 b - - 2 32,-97
6k1/ppr4p/5R2/8/7R/8/P1r2KPP/8 w - - 3 33,-87
6k1/ppr4p/5R2/8/7R/6K1/P1r3PP/8 b - - 4 33,-123
6k1/ppr4p/5R2/8/7R/6K1/r5PP/8 w - - 0 34,-92
6k1/ppr4p/5R2/8/6R1/6K1/r5PP/8 b - - 1 34,-143
6k1/pp4rp/5R2/8/6R1/6K1/r5PP/8 w - - 2 35,-102
6k1/pp4Rp/5R2/8/8/6K1/r5PP/8 b - - 0 35,-145
8/pp4kp/5R2/8/8/6K1/r5PP/8 w - - 0 36,-109
8/pp4kp/3R4/8/8/6K1/r5PP/8 b - - 1 36,-150
8/pp4kp/3R4/8/8/6K1/1r4PP/8 w - - 2 37,-138
8/pp4kp/3R4/8/5K2/8/1r4PP/8 b - - 3 37,-187
8/1p4kp/3R4/p7/5K2/8/1r4PP/8 w - - 0 38,-228
8/1p4kp/3R4/p7/5KP1/8/1r5P/8 b - - 0 38,-379
8/1p4kp/3R4/8/p4KP1/8/1r5P/8 w - - 0 39,-285
8/1p4kp/3R4/8/p4KPP/8/1r6/8 b - - 0 39,-685
8/1p4kp/3R4/8/5KPP/p7/1r6/8 w - - 0 40,-653
8/1p4kp/8/8/5KPP/p2R4/1r6/8 b - - 1 40,-1117
8/1p4kp/8/8/1r3KPP/p2R4/8/8 w - - 2 41,-302
8/1p4kp/8/4K3/1r4PP/p2R4/8/8 b - - 3 41,-441
8/1p4kp/8/4K3/r5PP/p2R4/8/8 w - - 4 42,-279
8/1p4kp/8/4K3/r5PP/p7/8/3R4 b - - 5 42,-638
8/1p4kp/8/4K3/6rP/p7/8/3R4 w - - 0 43,-1087
8/1p1R2kp/8/4K3/6rP/p7/8/8 b - - 1 43,-1095
8/1p1R3p/7k/4K3/6rP/p7/8/8 w - - 2 44,-922
8/1R5p/7k/4K3/6rP/p7/8/8 b - - 0 44,-1267
8/1R5p/7k/4K3/r6P/p7/8/8 w - - 1 45,-1928
8/7p/7k/4K3/r6P/p7/8/1R6 b - - 2 45,-2418
8/7p/7k/4K3/r6P/8/p7/1R6 w - - 0 46,-2352
8/7p/7k/4K3/r6P/8/p7/R7 b - - 1 46,-2387
8/7p/8/4K2k/r6P/8/p7/R7 w - - 2 47,-4797
r1b1kb1r/ppqpnppp/2n1p3/1B2P3/4Q3/2P2N2/PP1N1PPP/R1B1K2R b KQkq - 7 9,-74
r1b1kb1r/1pqpnppp/p1n1p3/1B2P3/4Q3/2P2N2/PP1N1PPP/R1B1K2R w KQkq - 0 10,57
r1b1kb1r/1pqpnppp/p1B1p3/4P3/4Q3/2P2N2/PP1N1PPP/R1B1K2R b KQkq - 0 10,-24
r1b1kb1r/1pqp1ppp/p1n1p3/4P3/4Q3/2P2N2/PP1N1PPP/R1B1K2R w KQkq - 0 11,31
r1b1kb1r/1pqp1ppp/p1n1p3/4P3/4Q3/2P2N2/PP1N1PPP/R1B2RK1 b kq - 1 11,-53
r1b1kb1r/2qp1ppp/p1n1p3/1p2P3/4Q3/2P2N2/PP1N1PPP/R1B2RK1 w kq - 0 12,14
r1b1kb1r/2qp1ppp/p1n1p3/1p2P3/4Q3/1NP2N2/PP3PPP/R1B2RK1 b kq - 1 12,-91
r3kb1r/1bqp1ppp/p1n1p3/1p2P3/4Q3/1NP2N2/PP3PPP/R1B2RK1 w kq - 2 13,-17
r3kb1r/1bqp1ppp/p1n1p3/1p2P3/4Q3/1NP2N2/PP3PPP/R1BR2K1 b kq - 3 13,-93
r3k2r/1bqpbppp/p1n1p3/1p2P3/4Q3/1NP2N2/PP3PPP/R1BR2K1 w kq - 4 14,45
r3k2r/1bqpbppp/p1n1p3/1p2P3/8/1NPQ1N2/PP3PPP/R1BR2K1 b kq - 5 14,-34
3rk2r/1bqpbppp/p1n1p3/1p2P3/8/1NPQ1N2/PP3PPP/R1BR2K1 w k - 6 15,2
3rk2r/1bqpbppp/p1n1p3/1p2P3/5B2/1NPQ1N2/PP3PPP/R2R2K1 b k - 7 15,-15
3rk2r/1bqpbpp1/p1n1p2p/1p2P3/5B2/1NPQ1N2/PP3PPP/R2R2K1 w k - 0 16,21
3rk2r/1bqpbpp1/p1n1p2p/1p2P3/5B2/1NPQ1N1P/PP3PP1/R2R2K1 b k - 0 16,-24
3rk2r/1bqpbp2/p1n1p2p/1p2P1p1/5B2/1NPQ1N1P/PP3PP1/R2R2K1 w k - 0 17,34
3rk2r/1bqpbp2/p1n1p2p/1p2P1p1/8/1NPQ1NBP/PP3PP1/R2R2K1 b k - 1 17,10
3rk2r/1bqpbp2/p1n1p3/1p2P1pp/8/1NPQ1NBP/PP3PP1/R2R2K1 w k - 0 18,15
3rk2r/1bqpbp2/p1n1p3/1p2P1pp/8/1NP1QNBP/PP3PP1/R2R2K1 b k - 1 18,-5
3rk2r/1bqpbp2/p1n1p3/1p2P1p1/7p/1NP1QNBP/PP3PP1/R2R2K1 w k - 0 19,75
3rk2r/1bqpbp2/p1n1p3/1p2P1p1/7p/1NP1QN1P/PP3PPB/R2R2K1 b k - 1 19,55
3rk1r1/1bqpbp2/p1n1p3/1p2P1p1/7p/1NP1QN1P/PP3PPB/R2R2K1 w - - 2 20,82
3rk1r1/1bqpbp2/p1n1p3/1pN1P1p1/7p/2P1QN1P/PP3PPB/R2R2K1 b - - 3 20,0
3rk1r1/1bqpbp2/p3p3/npN1P1p1/7p/2P1QN1P/PP3PPB/R2R2K1 w - - 4 21,154
3rk1r1/1Nqpbp2/p3p3/np2P1p1/7p/2P1QN1P/PP3PPB/R2R2K1 b - - 0 21,93
3rk1r1/1q1pbp2/p3p3/np2P1p1/7p/2P1QN1P/PP3PPB/R2R2K1 w - - 0 22,160
3rk1r1/1q1pbp2/p3p3/np2P1p1/7p/2PQ1N1P/PP3PPB/R2R2K1 b - - 1 22,70
3rk3/1q1pbp2/p3p1r1/np2P1p1/7p/2PQ1N1P/PP3PPB/R2R2K1 w - - 2 23,155
3rk3/1q1pbp2/p3p1r1/np2P1p1/7p/2PQ1N1P/PP3PPB/2RR2K1 b - - 3 23,0
3rk3/1q1pbp2/p3p1r1/1p2P1p1/2n4p/2PQ1N1P/PP3PPB/2RR2K1 w - - 4 24,62
3rk3/1q1pbp2/p3p1r1/1p2P1p1/2n4p/2P2N1P/PP2QPPB/2RR2K1 b - - 5 24,23
3rk3/1q1pbp2/p3p1r1/1p2P3/2n3pp/2P2N1P/PP2QPPB/2RR2K1 w - - 0 25,89
3rk3/1q1pbp2/p3p1r1/1p2P3/2n3Pp/2P2N2/PP2QPPB/2RR2K1 b - - 0 25,0
3rk3/1q1pbp2/p3p3/1p2P3/2n3rp/2P2N2/PP2QPPB/2RR2K1 w - - 0 26,68
3rk3/1q1pbp2/p3p3/1p2P3/2n3rp/2P2N2/PP2QPPB/2RR1K2 b - - 1 26,-176
3rk3/1q1pbp2/p3p3/1p2P3/2n1r2p/2P2N2/PP2QPPB/2RR1K2 w - - 2 27,0
3rk3/1q1pbp2/p3p3/1p2P3/2n1r2p/2P2N2/PPQ2PPB/2RR1K2 b - - 3 27,-60
3rk3/1q1pbp2/p3p3/1p2P3/2n1r3/2P2N1p/PPQ2PPB/2RR1K2 w - - 0 28,0
3rk3/1q1pbp2/p3p3/1p2P3/2n1r3/2P2N1P/PPQ2P1B/2RR1K2 b - - 0 28,-286
3rk3/1q1pbp2/p3p3/1p2P3/2n5/2P1rN1P/PPQ2P1B/2RR1K2 w - - 1 29,-240
3rk3/1q1pbp2/p3p3/1p2P3/2n5/2P1r2P/PPQ2P1B/2RR1KN1 b - - 2 29,-292
3rk3/3pbp2/p3p3/1p2P3/2n5/2P1r2P/PPQ2P1B/2RR1KNq w - - 3 30,-267
3rk3/3pbp2/p3p3/1p2P3/2n2B2/2P1r2P/PPQ2P2/2RR1KNq b - - 4 30,-412
3rk3/3pbp2/p3p3/1p2P3/2n2B2/2P2r1P/PPQ2P2/2RR1KNq w - - 5 31,-262
3rk3/3pbp2/p3p3/1p2P3/2nR1B2/2P2r1P/PPQ2P2/2R2KNq b - - 6 31,-350
3rk3/3p1p2/p3p3/1p2P3/2nR1B1b/2P2r1P/PPQ2P2/2R2KNq w - - 7 32,-297
3rk3/3p1p2/p3p3/1p2P3/2nR1B1b/1PP2r1P/P1Q2P2/2R2KNq b - - 0 32,-439
3rk3/3p1p2/p3p3/1p2P3/2nR1B2/1PP2r1P/P1Q2b2/2R2KNq w - - 0 33,97
3rk3/3p1p2/p3p3/1p2P3/2nR1B2/1PP2r1P/P4Q2/2R2KNq b - - 0 33,23
3rk3/3p1p2/p3p3/1p2P3/2nR1B2/1PP4P/P4r2/2R2KNq w - - 0 34,0
3rk3/3p1p2/p3p3/1p2P3/2nR1B2/1PP4P/P4K2/2R3Nq b - - 0 34,6
3rk3/3p1p2/pn2p3/1p2P3/3R1B2/1PP4P/P4K2/2R3Nq w - - 1 35,65
3rk3/3p1p2/pn2p3/1p2P3/3R1B2/1PP2N1P/P4K2/2R4q b - - 2 35,182
3rk3/3p1p2/pn2p3/1p2P3/3R1B2/1PP2N1q/P4K2/2R5 w - - 0 36,0
3rk3/3p1p2/pn2p3/1p2P1B1/3R4/1PP2N1q/P4K2/2R5 b - - 1 36,141
3rk3/3p4/pn2pp2/1p2P1B1/3R4/1PP2N1q/P4K2/2R5 w - - 0 37,109
3rk3/3p4/pn2pp2/1p2P1B1/7R/1PP2N1q/P4K2/2R5 b - - 1 37,248
3rk3/3p4/pn2pp2/1p2PqB1/7R/1PP2N2/P4K2/2R5 w - - 2 38,49
3rk3/3p4/pn2pB2/1p2Pq2/7R/1PP2N2/P4K2/2R5 b - - 0 38,38
2r1k3/3p4/pn2pB2/1p2Pq2/7R/1PP2N2/P4K2/2R5 w - - 1 39,112
2r1k2R/3p4/pn2pB2/1p2Pq2/8/1PP2N2/P4K2/2R5 b - - 2 39,10
2r4R/3p1k2/pn2pB2/1p2Pq2/8/1PP2N2/P4K2/2R5 w - - 3 40,22
2r5/3p1k1R/pn2pB2/1p2Pq2/8/1PP2N2/P4K2/2R5 b - - 4 40,-23
2r5/3p1k1q/pn2pB2/1p2P3/8/1PP2N2/P4K2/2R5 w - - 0 41,0
2r5/3p1k1q/pn2pB2/1p2P1N1/8/1PP5/P4K2/2R5 b - - 1 41,0
2r3k1/3p3q/pn2pB2/1p2P1N1/8/1PP5/P4K2/2R5 w - - 2 42,13
2r3k1/3p3N/pn2pB2/1p2P3/8/1PP5/P4K2/2R5 b - - 0 42,0
2r5/3p3k/pn2pB2/1p2P3/8/1PP5/P4K2/2R5 w - - 0 43,0
2r5/3p3k/pn2pB2/1p2P3/8/1PP1K3/P7/2R5 b - - 1 43,0
2r5/3p3k/p3pB2/1p1nP3/8/1PP1K3/P7/2R5 w - - 2 44,0
2r5/3p3k/p3pB2/1p1nP3/3K4/1PP5/P7/2R5 b - - 3 44,0
2r5/3p4/p3pBk1/1p1nP3/3K4/1PP5/P7/2R5 w - - 4 45,0
2r5/3p4/p3pBk1/1p1nP3/3K4/1PP5/P7/6R1 b - - 5 45,0
2r5/3p4/p3pB2/1p1nPk2/3K4/1PP5/P7/6R1 w - - 6 46,0
2r5/3p4/p3pB2/1p1nPk2/2PK4/1P6/P7/6R1 b - - 0 46,0
2r5/3p4/p3pB2/3nPk2/2pK4/1P6/P7/6R1 w - - 0 47,0
2r5/3p4/p3pB2/3nPk2/2PK4/8/P7/6R1 b - - 0 47,0
2r5/3p4/pn2pB2/4Pk2/2PK4/8/P7/6R1 w - - 1 48,0
2r5/3p4/pn2pB2/2P1Pk2/3K4/8/P7/6R1 b - - 0 48,0
2r5/3p4/p3pB2/2PnPk2/3K4/8/P7/6R1 w - - 1 49,13
2r5/3p4/p3pB2/2PnPkR1/3K4/8/P7/8 b - - 2 49,0
2r5/3p4/p3pB2/2PnP1R1/3K1k2/8/P7/8 w - - 3 50,0
2r5/3p2R1/p3pB2/2PnP3/3K1k2/8/P7/8 b - - 4 50,0
8/2rp2R1/p3pB2/2PnP3/3K1k2/8/P7/8 w - - 5 51,241
3B4/2rp2R1/p3p3/2PnP3/3K1k2/8/P7/8 b - - 6 51,7
3B4/1r1p2R1/p3p3/2PnP3/3K1k2/8/P7/8 w - - 7 52,35
8/1r1p2R1/p3p3/B1PnP3/3K1k2/8/P7/8 b - - 8 52,7
8/3p2R1/p3p3/B1PnP3/3K1k2/8/Pr6/8 w - - 9 53,72
8/3p2R1/p3p3/B1PnP3/3K1k2/P7/1r6/8 b - - 0 53,62
8/3p2R1/p3p3/B1PnP3/3K1k2/P7/8/1r6 w - - 1 54,299
8/3p1R2/p3p3/B1PnP3/3K1k2/P7/8/1r6 b - - 2 54,12
